# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	42107
#@/user_id	8d82608b-c9dc-447a-b88f-fa6f65555da6
a 	啊	c=198 d=1.50015 t=41900
yan jiu 	研究	c=5 d=1.99504 t=40361
yan mai 	燕麦	c=1 d=1 t=16563
yan qi 	延期	c=1 d=1 t=39809
yan se 	颜色	c=6 d=1 t=42006
yan shi 	演示	c=8 d=2.98911 t=28284
yan shu 	眼熟	c=1 d=1 t=2895
yan tong 	烟筒	c=1 d=1 t=6782
yan wu dan 	烟雾弹	c=1 d=1 t=16594
yan xue 	验血	c=2 d=1.00008 t=6736
yan xun 	烟熏	c=1 d=1 t=25613
yan yuan 	演员	c=1 d=1 t=7889
yan zheng 	验证	c=12 d=1 t=38924
yan zheng ma 	验证码	c=9 d=1.97531 t=38954
yan zhong 	严重	c=2 d=1.70117 t=16961
yang 	杨	c=2 d=1.72253 t=31135
yang 	样	c=1 d=1 t=38934
yang 	羊	c=1 d=1 t=6230
yang 	阳	c=13 d=1 t=22863
yang chan 	央产	c=1 d=1 t=19038
yang gang 	阳刚	c=1 d=1 t=15223
yang guang 	阳光	c=5 d=1.5566 t=27481
yang lao 	养老	c=3 d=1 t=41358
yang lao jin 	养老金	c=2 d=1.99005 t=14595
yang le 	阳了	c=5 d=1 t=26180
yang mao 	养猫	c=1 d=1 t=21275
yang shi 	样式	c=6 d=3.08423 t=4646
yang tai 	阳台	c=7 d=2.72176 t=36840
yang tou 	羊头	c=0 d=0.1 t=26389
yang tou gua gou 	羊头挂狗	c=1 d=1 t=26390
yang wei 	阳痿	c=1 d=1 t=22429
yang xie zi 	羊蝎子	c=1 d=1 t=22541
yang yang 	样样	c=2 d=1.95123 t=23694
yang zi 	样子	c=1 d=1 t=35330
yao 	药	c=19 d=0.1 t=38517
yao 	要	c=153 d=1.88661 t=41706
yao ba 	要把	c=1 d=1 t=35650
yao bu 	要不	c=12 d=1.00014 t=40353
yao bu jiu shi 	要不就是	c=1 d=1 t=8730
yao bu yao 	要不要	c=8 d=1 t=41606
yao cha 	要查	c=1 d=1 t=21937
yao deng 	要等	c=3 d=1.98511 t=37729
yao fang 	要放	c=1 d=1 t=38904
yao gao 	要高	c=0 d=0.1 t=29139
yao gao le 	要高了	c=1 d=1 t=29140
yao gei 	要给	c=2 d=1 t=37437
yao hai zi 	要孩子	c=1 d=1 t=8900
yao hao 	摇号	c=1 d=1 t=32800
yao jia 	要加	c=1 d=1 t=3876
yao jiao 	要交	c=2 d=1 t=32092
yao jin 	要紧	c=1 d=1 t=16081
yao ka 	要卡	c=1 d=1 t=11108
yao kong 	遥控	c=2 d=1.98511 t=37668
yao kong chuan 	遥控船	c=1 d=1 t=37616
yao lai 	要来	c=1 d=1 t=38636
yao le 	要了	c=1 d=1 t=16971
yao me 	要么	c=4 d=1.99005 t=40086
yao pao 	要跑	c=2 d=1 t=41111
yao qiu 	要求	c=21 d=1 t=41976
yao qu 	要去	c=1 d=1 t=27836
yao shi 	要是	c=29 d=1 t=41242
yao shi 	钥匙	c=2 d=1.00011 t=41243
yao shi yong 	要使用	c=1 d=1 t=15551
yao yong 	要用	c=1 d=1 t=36716
yao you 	要有	c=2 d=1.0067 t=10024
yao you yi ge 	要有一个	c=1 d=1 t=5380
yao zai 	要在	c=3 d=1 t=40429
yao zuo 	要做	c=1 d=1 t=34614
ye 	也	c=204 d=1.30171 t=42081
ye 	夜	c=2 d=1 t=34582
ye bu 	也不	c=1 d=1 t=32968
ye bu chu lai 	也不出来	c=1 d=1 t=13361
ye bu guan 	也不管	c=1 d=1 t=14088
ye bu gui 	也不贵	c=1 d=1 t=29485
ye bu hui 	也不会	c=1 d=1 t=5268
ye bu shi 	也不是	c=4 d=1 t=28936
ye bu xing 	也不行	c=1 d=1 t=23910
ye dou 	也都	c=3 d=1.05475 t=23443
ye dou shi 	也都是	c=1 d=1 t=11613
ye gei 	也给	c=3 d=1 t=35781
ye gou 	也够	c=4 d=1 t=41575
ye hui 	也会	c=2 d=1 t=30042
ye jiu 	也就	c=5 d=1 t=38908
ye jiu shi 	也就是	c=8 d=1.04636 t=23081
ye lai 	也来	c=1 d=1 t=7032
ye mei 	页眉	c=1 d=1 t=41888
ye mei you 	也没有	c=1 d=1 t=24799
ye mian 	页面	c=25 d=1.35169 t=42093
ye qu 	也去	c=1 d=1 t=10588
ye shi 	也是	c=29 d=1 t=41997
ye suan 	也算	c=1 d=1 t=6748
ye wan 	也玩	c=1 d=1 t=13456
ye wu 	业务	c=14 d=1.00335 t=41109
ye xiao 	夜宵	c=1 d=1.06942 t=12345
ye xing 	也行	c=4 d=1 t=38775
ye yao 	也要	c=5 d=1.00036 t=40300
ye yong 	也用	c=1 d=1 t=24842
ye you 	也有	c=9 d=1 t=42021
ye zai 	也在	c=3 d=1 t=34018
ye zhi 	椰汁	c=1 d=1 t=8454
ye zhu 	业主	c=1 d=1 t=27317
ye zi 	椰子	c=1 d=1 t=8452
ye zuo 	也做	c=1 d=1 t=28065
yi 	一	c=6 d=1.16955 t=35253
yi 	亿	c=1 d=1 t=6883
yi 	易	c=8 d=1 t=12407
yi ba 	一把	c=1 d=1 t=10687
yi ban 	一半	c=2 d=1 t=22642
yi ban 	一般	c=18 d=1 t=27977
yi bang 	一帮	c=1 d=1 t=3218
yi bang ren 	一帮人	c=1 d=1 t=29519
yi bao 	医保	c=2 d=1.98511 t=37901
yi bao ka 	医保卡	c=1 d=1 t=11469
yi bei 	一倍	c=1 d=1 t=6797
yi bei 	一杯	c=1 d=1 t=19758
yi bei zi 	一辈子	c=1 d=1 t=38588
yi ben 	一本	c=1 d=1 t=9559
yi ben shu 	一本书	c=3 d=1.00001 t=27686
yi bi 	一逼	c=3 d=1 t=36666
yi bian 	一遍	c=7 d=1.11248 t=28087
yi bing 	一并	c=1 d=1 t=34101
yi bo 	一波	c=3 d=1.27943 t=19698
yi bu 	一步	c=1 d=1 t=27137
yi bu 	一部	c=1 d=1 t=27135
yi bu fen 	一部分	c=2 d=1 t=37958
yi bu yi bu 	一步一步	c=2 d=1.94176 t=9132
yi ce 	一测	c=1 d=1 t=22205
yi ceng 	一层	c=2 d=1.92312 t=2519
yi ceng yi ceng 	一层一层	c=1 d=1 t=2799
yi cha 	一插	c=2 d=1 t=5627
yi cha 	一查	c=1 d=1 t=38420
yi chang 	一场	c=1 d=1 t=12130
yi chang 	异常	c=1 d=1 t=12131
yi chu 	溢出	c=16 d=1.01293 t=37164
yi chuan 	遗传	c=1 d=1 t=22012
yi ci 	一次	c=14 d=1 t=38929
yi ci xing 	一次性	c=1 d=1 t=20224
yi dan 	一旦	c=1 d=1 t=14576
yi di 	一地	c=1 d=1 t=14380
yi dian 	一点	c=22 d=2.1058 t=40755
yi ding 	一定	c=8 d=1 t=36435
yi ding dian 	一丁点	c=1 d=1 t=27067
yi ding shi 	一定是	c=1 d=1 t=21925
yi dong 	移动	c=10 d=1.72354 t=41102
yi duan 	一段	c=2 d=1 t=31410
yi dui 	一堆	c=3 d=1 t=30367
yi dun 	一顿	c=4 d=1.00023 t=35386
yi fa song 	已发送	c=1 d=1 t=23329
yi fan shang 	一番赏	c=1 d=1 t=8593
yi fen 	一份	c=10 d=1 t=41832
yi feng 	一封	c=4 d=1.29324 t=18603
yi fu 	衣服	c=8 d=1.84366 t=40745
yi ge 	一个	c=418 d=3.47026 t=42096
yi ge ren 	一个人	c=3 d=1 t=37984
yi ge yi ge 	一个一个	c=1 d=1 t=37276
yi ge yue 	一个月	c=6 d=1.91851 t=27874
yi gong 	一共	c=9 d=1 t=39510
yi guan 	一关	c=1 d=1 t=11327
yi hao 	一号	c=2 d=1 t=14116
yi hao yuan 	一号院	c=1 d=1 t=22620
yi he 	一盒	c=1 d=1 t=17095
yi he yuan 	颐和园	c=2 d=1.99005 t=17371
yi hou 	以后	c=29 d=1.00009 t=40460
yi hui er 	一会儿	c=10 d=1.42528 t=40542
yi hui er ni 	一会儿你	c=1 d=1 t=20588
yi ji 	一级	c=1 d=1 t=33279
yi ji 	一集	c=1 d=1 t=13385
yi ji 	以及	c=2 d=1 t=25918
yi ji yi ji 	一级一级	c=1 d=1 t=1050
yi jia 	一家	c=7 d=1.00674 t=36295
yi jia 	宜家	c=9 d=3.47456 t=14123
yi jia dian 	一家店	c=1 d=1 t=32872
yi jia san kou 	一家三口	c=1 d=1 t=41065
yi jian 	一件	c=1 d=1 t=30817
yi jian 	意见	c=2 d=1 t=30816
yi jing 	已经	c=61 d=1.04979 t=39380
yi jing 	意境	c=7 d=1.71177 t=27062
yi ju 	一句	c=7 d=1 t=38194
yi ju hua 	一句话	c=5 d=1.00641 t=31436
yi ju shi 	一居室	c=2 d=1 t=30191
yi kai hui 	一开会	c=1 d=1 t=3579
yi kan 	一看	c=8 d=1 t=38412
yi kou 	一口	c=1 d=1 t=38785
yi kou qi 	一口气	c=5 d=1 t=29006
yi kuai 	一块	c=1 d=1 t=29113
yi kun 	一捆	c=1 d=1 t=6159
yi lai 	依赖	c=2 d=1 t=29218
yi lai yi qu 	一来一去	c=1 d=1 t=5325
yi lao yong yi 	一劳永逸	c=1 d=1 t=18070
yi lian 	一脸	c=1 d=1 t=31140
yi liang 	一辆	c=0 d=0.1 t=16582
yi liang bai wan 	一两百万	c=1 d=1 t=2041
yi liang che 	一辆车	c=1 d=1 t=13288
yi liao 	医疗	c=2 d=1.97045 t=2043
yi lie 	一列	c=1 d=1 t=26459
yi lou 	一楼	c=1 d=1 t=27471
yi lou 	遗漏	c=2 d=1 t=34087
yi lv 	一律	c=4 d=1.08127 t=30447
yi ma 	姨妈	c=1 d=1 t=10737
yi mi jiu 	一米九	c=1 d=1 t=25880
yi miao 	一秒	c=1 d=1 t=20658
yi min 	移民	c=1 d=1 t=3319
yi ming 	一名	c=2 d=1.0006 t=32915
yi ming 	一命	c=1 d=1 t=29154
yi mo 	一抹	c=0 d=0.1 t=11304
yi mo tou fa 	一抹头发	c=1 d=1 t=11305
yi mo yi yang 	一模一样	c=1 d=1 t=29769
yi nei 	以内	c=2 d=1.94176 t=32934
yi nian 	一年	c=8 d=1 t=40700
yi pi 	一批	c=5 d=1 t=39975
yi pian 	一片	c=2 d=1.77492 t=9706
yi pian 	一篇	c=4 d=1.88692 t=39242
yi ping 	一瓶	c=1 d=1 t=16972
yi ping mi 	一平米	c=1 d=1 t=23030
yi qi 	一期	c=3 d=1 t=35560
yi qi 	一起	c=10 d=1 t=38684
yi qi kan 	一起看	c=1 d=1 t=41092
yi qian 	以前	c=14 d=1 t=38670
yi qie 	一切	c=1 d=1 t=9729
yi qing 	疫情	c=2 d=1 t=15075
yi quan 	一圈	c=2 d=1 t=22612
yi ren 	一人	c=1 d=1 t=1774
yi ri 	一日	c=1 d=1 t=7205
yi shang 	以上	c=3 d=1 t=27131
yi sheng 	医生	c=13 d=1.29523 t=35203
yi shi 	仪式	c=3 d=1 t=16325
yi shu 	艺术	c=1 d=1 t=29958
yi shui 	一水	c=1 d=1 t=24089
yi shuo 	一说	c=1 d=1 t=40803
yi si 	一丝	c=1 d=1 t=462
yi si 	意思	c=33 d=1.00077 t=41095
yi tai 	一台	c=4 d=1.00273 t=40017
yi tai 	一胎	c=1 d=1 t=11428
yi tang 	一趟	c=1 d=1 t=722
yi tao 	一套	c=9 d=1 t=30176
yi tao 	椅套	c=2 d=1.90484 t=4907
yi tao fang 	一套房	c=1 d=1 t=13287
yi ti 	一体	c=1 d=1 t=36637
yi ti ji 	一体机	c=2 d=1.95123 t=31685
yi tian 	一天	c=14 d=1.00005 t=40362
yi tiao 	一条	c=6 d=1 t=39861
yi tiao ming 	一条命	c=1 d=1 t=70
yi tuo shi 	一坨屎	c=1 d=1 t=20905
yi wan zhang 	一万张	c=1 d=1 t=17996
yi wei 	以为	c=9 d=1.86071 t=40469
yi wei zhe 	意味着	c=1 d=1 t=18633
yi wen 	疑问	c=1 d=1 t=33764
yi xi 	乙烯	c=0 d=0.1 t=38077
yi xi qu 	乙烯去	c=1 d=1 t=38078
yi xia 	一下	c=317 d=2.65066 t=41938
yi xia 	以下	c=5 d=1.29523 t=15611
yi xiao 	一小	c=1 d=1 t=9852
yi xiao bo 	一小波	c=1 d=1 t=27509
yi xie 	一些	c=25 d=1.15276 t=39980
yi xing qi 	一星期	c=1 d=1 t=2309
yi xiu 	一宿	c=1 d=1 t=25947
yi yan 	一眼	c=3 d=1.03335 t=5521
yi yan ding zhen 	一眼丁真	c=1 d=1 t=19430
yi yang 	一样	c=27 d=1.00124 t=40656
yi yi 	意义	c=2 d=1 t=19535
yi yuan 	医院	c=19 d=1.90937 t=37943
yi yue 	一月	c=10 d=1 t=33113
yi zhang 	一张	c=7 d=1.40657 t=41320
yi zhe zhong 	以这种	c=1 d=1 t=14967
yi zhi 	一只	c=3 d=1 t=27908
yi zhi 	一支	c=7 d=1 t=33959
yi zhi 	一直	c=29 d=1.00194 t=38396
yi zhi bu jian ding 	意志不坚定	c=1 d=1 t=38789
yi zhong 	一种	c=2 d=1 t=14844
yi zhou 	一周	c=1 d=1 t=2220
yi zhu 	遗嘱	c=1 d=1 t=30180
yi zi 	椅子	c=2 d=1.92312 t=4900
yi zu 	一组	c=1 d=1 t=26421
yi zui 	一醉	c=1 d=1 t=24827
yin 	印	c=1 d=1 t=20938
yin 	垠	c=1 d=1 t=42100
yin 	阴	c=1 d=1 t=22856
yin cang 	隐藏	c=2 d=1.96561 t=31963
yin chang 	吟唱	c=1 d=1 t=2560
yin du 	印度	c=3 d=1 t=9675
yin hang 	银行	c=3 d=1.44486 t=5983
yin he 	银河	c=1 d=1 t=14127
yin he hu wei dui 	银河护卫队	c=1 d=1 t=13949
yin huan 	隐患	c=1 d=1 t=32480
yin ling 	引领	c=1 d=1 t=29495
yin liu 	引流	c=1 d=1 t=12677
yin ni 	印尼	c=1 d=1 t=15115
yin se 	银色	c=1 d=1 t=1566
yin shen 	隐身	c=1 d=1 t=9790
yin wei 	因为	c=71 d=1.00832 t=41464
yin xiang 	印象	c=4 d=1 t=23268
yin xiang 	音响	c=1 d=1 t=21741
yin yang guai qi 	阴阳怪气	c=1 d=1 t=2202
yin yu 	隐喻	c=3 d=2.82795 t=25582
ying 	应	c=4 d=1 t=13782
ying 	赢	c=1 d=1 t=10665
ying chao 	英超	c=2 d=1.00001 t=26823
ying fei ni di 	英菲尼迪	c=1 d=1 t=38859
ying gai 	应该	c=151 d=1.17301 t=42060
ying jian 	硬件	c=7 d=1 t=38601
ying jie sheng 	应届生	c=2 d=1.98511 t=14585
ying le 	赢了	c=1 d=1 t=32058
ying pan 	硬盘	c=12 d=2.07242 t=39140
ying pan he 	硬盘盒	c=1 d=1 t=36446
ying she 	影射	c=2 d=1 t=28179
ying shou 	营收	c=1 d=1 t=6885
ying wei da 	英伟达	c=3 d=2.89413 t=29145
ying wen 	英文	c=10 d=1 t=34940
ying xiang 	影响	c=16 d=1.36663 t=40317
ying xiong 	英雄	c=1 d=1 t=22788
ying yang 	营养	c=1 d=1 t=32572
ying ye 	营业	c=3 d=1.97045 t=37839
ying yong 	应用	c=4 d=1 t=32571
ying yong bao 	应用包	c=1 d=1 t=4507
ying yong ceng 	应用层	c=4 d=1 t=27188
ying yong cheng xu 	应用程序	c=2 d=1.83946 t=31511
ying yong shang dian 	应用商店	c=1 d=1 t=25116
ying yu 	英语	c=2 d=1.99005 t=35520
yo 	哟	c=0 d=0.1 t=2507
yo guo hu 	哟过户	c=1 d=1 t=2508
yong 	用	c=221 d=1.79415 t=42085
yong ai 	用爱	c=1 d=1 t=2344
yong bu liao 	用不了	c=5 d=1.46302 t=25173
yong bu shang 	用不上	c=3 d=1 t=34879
yong bu yong 	用不用	c=2 d=1 t=41600
yong de 	用的	c=3 d=1 t=41716
yong guo 	用过	c=1 d=1 t=20524
yong hu 	用户	c=62 d=1.14299 t=39365
yong hu duan 	用户端	c=1 d=1 t=35273
yong hu mi 	用户密	c=1 d=1 t=3841
yong hu ming 	用户名	c=8 d=1 t=34249
yong jiu 	永久	c=2 d=1.93239 t=30356
yong lai 	用来	c=1 d=1 t=15839
yong le 	用了	c=6 d=1.91851 t=35878
yong ni 	用你	c=1 d=1 t=26864
yong shang 	用上	c=2 d=1 t=29448
yong tu 	用途	c=1 d=1 t=32529
yong wan le 	用完了	c=3 d=1 t=39157
yong wo 	用我	c=1 d=1 t=13676
yong yong 	用用	c=2 d=1 t=41144
yong yu 	用于	c=4 d=1.00031 t=17397
yong yuan 	永远	c=4 d=1 t=31940
yong zai 	用在	c=2 d=1 t=35363
you 	又	c=66 d=4.89675 t=41472
you 	友	c=2 d=1.00403 t=2059
you 	有	c=447 d=5.39117 t=42074
you 	油	c=2 d=1 t=37869
you 	由	c=4 d=2.42053 t=40338
you ba 	有吧	c=1 d=1 t=9944
you ce 	右侧	c=1 d=1 t=26136
you che 	有车	c=1 d=1 t=1681
you che 	油车	c=1 d=1 t=38886
you de 	有的	c=5 d=1 t=38722
you dian 	优点	c=6 d=1 t=29651
you dian 	有点	c=15 d=1 t=37510
you dian fan 	有点烦	c=1 d=1 t=35721
you dian gui 	有点贵	c=1 d=1 t=25730
you dian shi 	有点事	c=1 d=1 t=19199
you dian xiang 	有点像	c=1 d=1 t=26798
you duo 	有多	c=0 d=0.1 t=1474
you duo zao 	有多早	c=1 d=1 t=1475
you er yuan 	幼儿园	c=16 d=1 t=40759
you ge 	有个	c=33 d=1.00795 t=40935
you ge ren 	有个人	c=1 d=1 t=30491
you guan 	油管	c=4 d=1.72253 t=33752
you guan xi 	有关系	c=1 d=1 t=38731
you guo 	有过	c=1 d=1 t=29383
you hua 	优化	c=9 d=3.21002 t=28667
you hua 	有话	c=3 d=1.8825 t=28565
you hui 	优惠	c=4 d=1.85903 t=36751
you ji 	邮寄	c=1 d=1 t=36472
you jia 	油价	c=1 d=1 t=5764
you jian 	邮件	c=50 d=2.56124 t=42038
you ke 	游客	c=1 d=1 t=10564
you lai 	由来	c=1 d=1 t=8208
you le 	有了	c=1 d=1 t=29027
you ma 	有吗	c=2 d=1 t=36815
you mei you 	有没有	c=34 d=1 t=39900
you ming 	有名	c=1 d=1 t=20032
you ni 	有你	c=1 d=1 t=14216
you qi 	尤其	c=2 d=1 t=30537
you qian 	有钱	c=3 d=1 t=23691
you qian ren 	有钱人	c=1 d=1 t=3389
you ren 	有人	c=6 d=1.01198 t=29480
you ren fa guo 	有人法国	c=1 d=1 t=33302
you ren mai 	有人买	c=1 d=1 t=7768
you shei 	有谁	c=1 d=1 t=32430
you shi 	优势	c=1 d=1 t=38807
you shi 	又是	c=1 d=1 t=2842
you shi 	有事	c=4 d=1 t=41748
you shi 	有时	c=1 d=1 t=14867
you shi hou 	有时候	c=1 d=1 t=1661
you shou 	幼兽	c=1 d=1 t=9945
you shu ju 	有数据	c=1 d=1 t=22596
you song 	油松	c=0 d=0.1 t=126
you song jia 	悠送佳	c=1 d=1 t=37436
you song jia 	油松家	c=1 d=1 t=127
you wen ti 	有问题	c=4 d=1.00015 t=35945
you xi 	游戏	c=18 d=1.01061 t=41265
you xi ji 	游戏机	c=4 d=1 t=40744
you xi pan 	游戏盘	c=1 d=1 t=15086
you xian 	有限	c=2 d=1 t=41820
you xian gong si 	有限公司	c=2 d=1 t=41883
you xiang 	邮箱	c=14 d=1.9916 t=38921
you xiao 	有效	c=2 d=1 t=16996
you xiao qi 	有效期	c=7 d=1 t=40435
you xiao ri qi 	有效日期	c=1 d=1 t=7235
you xin 	有心	c=1 d=1 t=184
you yi bo 	有一波	c=1 d=1 t=27487
you yi ci 	有一次	c=2 d=1 t=27577
you yi da wu yi da 	有一搭无一搭	c=1 d=1 t=27307
you yi ge 	有一个	c=10 d=1 t=37753
you yi ku 	优衣库	c=1 d=1 t=4865
you yi shuo yi 	有一说一	c=2 d=1 t=35798
you yi xie 	有一些	c=3 d=1.00038 t=35038
you yu 	由于	c=9 d=1 t=37717
you zhe ge 	有这个	c=1 d=1 t=34384
you zheng 	邮政	c=1 d=1 t=8609
you zui 	有罪	c=2 d=1.90937 t=34851
yu 	与	c=7 d=1 t=28411
yu 	于	c=1 d=1 t=753
yu 	宇	c=1 d=1 t=41740
yu 	雨	c=1 d=1 t=19181
yu ce 	预测	c=1 d=1 t=39307
yu dao 	遇到	c=3 d=1.70469 t=24883
yu e 	余额	c=2 d=1 t=41542
yu gu 	预估	c=1 d=1 t=32149
yu guang 	余光	c=1 d=1 t=38735
yu jian 	遇见	c=2 d=1.91393 t=5043
yu ju 	语句	c=1 d=1 t=26766
yu liu 	预留	c=1 d=1 t=21799
yu mi 	玉米	c=1 d=1 t=22765
yu ming 	域名	c=26 d=1.00026 t=39811
yu san 	雨伞	c=1 d=1 t=19337
yu she 	预设	c=1 d=1 t=24028
yu yan 	语言	c=4 d=1 t=25526
yu yan 	雨燕	c=4 d=1.00001 t=39793
yu yi 	寓意	c=2 d=1.72253 t=34514
yu yin 	语音	c=4 d=1 t=32774
yu yue 	预约	c=2 d=1 t=18537
yuan 	元	c=4 d=1 t=41169
yuan 	圆	c=1 d=1 t=39275
yuan 	源	c=1 d=1 t=19037
yuan 	远	c=1 d=1 t=40756
yuan 	院	c=2 d=1.34994 t=23557
yuan ban ren ma 	原班人马	c=1 d=1 t=13206
yuan cheng 	远程	c=2 d=1 t=36794
yuan de 	圆的	c=1 d=1 t=20959
yuan feng bu dong 	原封不动	c=1 d=1 t=38291
yuan gong 	员工	c=3 d=1 t=37691
yuan hua 	原话	c=1 d=1 t=11504
yuan jia 	原价	c=1 d=1 t=36419
yuan jian 	远见	c=1 d=1 t=27995
yuan jin 	远近	c=1 d=1 t=24263
yuan lai 	原来	c=4 d=1 t=31235
yuan ma 	源码	c=2 d=1.93239 t=13137
yuan shi 	原始	c=9 d=1.05892 t=38180
yuan tu 	原图	c=1 d=1 t=6769
yuan wen 	原文	c=5 d=1 t=27015
yuan xian 	原先	c=1 d=1 t=29246
yuan yi 	原意	c=3 d=1 t=16548
yuan yin 	原因	c=5 d=1 t=39742
yue 	月	c=115 d=1.00045 t=41626
yue 	玥	c=3 d=2.18941 t=38214
yue 	约	c=7 d=1 t=41286
yue 	越	c=1 d=1 t=5795
yue bao 	月报	c=23 d=1.18995 t=40585
yue chu 	月初	c=2 d=1 t=33451
yue da 	越大	c=1 d=1 t=36602
yue de 	月的	c=2 d=1 t=16272
yue deng yu 	约等于	c=1 d=1 t=9098
yue di 	月底	c=8 d=1 t=33182
yue di qian 	月底前	c=1 d=1 t=24670
yue du 	阅读	c=2 d=1 t=17410
yue fen 	月份	c=3 d=1 t=32556
yue ge 	约个	c=1 d=1 t=41221
yue hao 	越好	c=1 d=1 t=36603
yue jie 	月姐	c=2 d=1.41895 t=5993
yue jing 	月经	c=1 d=1 t=11436
yue lai yue 	越来越	c=2 d=1 t=40736
yue lai yue da 	越来越大	c=1 d=1 t=24872
yue lai yue duo 	越来越多	c=2 d=1 t=35776
yue mo 	月末	c=2 d=1 t=33449
yue mo pao 	月末跑	c=1 d=1 t=7704
yue yi xia 	约一下	c=1 d=1 t=3091
yun 	云	c=1 d=1 t=8614
yun 	晕	c=4 d=2.54443 t=38787
yun 	运	c=3 d=2.87982 t=34292
yun chang shang 	云厂商	c=1 d=1 t=23284
yun nan 	云南	c=1 d=1 t=2471
yun pan 	云盘	c=2 d=1 t=36506
yun wei 	运维	c=27 d=1.00003 t=42024
yun wei 	韵味	c=11 d=1 t=37572
yun wei bu 	运维部	c=1 d=1 t=17252
yun xing 	运行	c=4 d=1.00097 t=36729
yun xu 	允许	c=1 d=1 t=25140
yun ying 	运营	c=6 d=1 t=31998
yun zhi sheng 	云知声	c=2 d=1 t=30611
yun zhu ji 	云主机	c=1 d=1 t=26209
zai 	再	c=55 d=1.00716 t=38292
zai 	在	c=170 d=2.7401 t=42092
zai bu 	再不	c=1 d=1 t=34877
zai bu zai 	在不在	c=1 d=1 t=15102
zai che li 	在车里	c=1 d=1 t=41497
zai chi 	再吃	c=1 d=1 t=38517
zai fa 	再发	c=1 d=1 t=38928
zai gan ma 	在干嘛	c=1 d=1 t=17972
zai gei 	在给	c=1 d=1 t=26420
zai guo 	再过	c=1 d=1 t=32891
zai hou tai 	在后台	c=1 d=1 t=28171
zai jia 	再加	c=1 d=1 t=40375
zai jia 	在家	c=1 d=1 t=24933
zai jia li 	在家里	c=1 d=1 t=11969
zai jia shang 	再加上	c=1 d=1 t=38883
zai jian 	再见	c=2 d=1.99501 t=41217
zai jin qu 	再进去	c=1 d=1 t=5285
zai kan 	再看	c=1 d=1 t=23642
zai kan kan 	再看看	c=1 d=1 t=31377
zai lai 	再来	c=1 d=1 t=34024
zai le 	在了	c=1 d=1 t=20475
zai ma 	在吗	c=1 d=1 t=2925
zai mai 	再买	c=2 d=1.03456 t=22119
zai na 	在哪	c=6 d=1.00038 t=37623
zai na li 	在那里	c=3 d=1 t=36148
zai na shang xue 	在哪上学	c=1 d=1 t=36153
zai nan 	灾难	c=1 d=1 t=20789
zai ni 	在你	c=1 d=1 t=18861
zai nong 	在弄	c=1 d=1 t=22634
zai pao 	再跑	c=1 d=1 t=27933
zai qu 	再去	c=1 d=1 t=9717
zai shang mian 	在上面	c=2 d=1.04929 t=26147
zai she hui 	在社会	c=0 d=0.1 t=2132
zai she hui li 	在社会里	c=1 d=1 t=2133
zai shi shi 	再试试	c=6 d=1 t=29780
zai shuo 	再说	c=8 d=1.01216 t=41694
zai wen 	在问	c=1 d=1 t=28711
zai wo 	在我	c=2 d=1 t=35206
zai xia mian 	在下面	c=1 d=1 t=26150
zai xian 	在线	c=4 d=1 t=30874
zai yong 	再用	c=1 d=1 t=40401
zai yong 	在用	c=1 d=1 t=35302
zai you ou guan 	在有欧冠	c=1 d=1 t=30173
zai zhao 	再找	c=1 d=1 t=19467
zai zhe ge 	在这个	c=1 d=1 t=22295
zai zhi 	在职	c=0 d=0.1 t=41743
zai zhi shou ru 	在职收入	c=1 d=1 t=41744
zai zou 	再走	c=0 d=0.1 t=36188
zai zou liang bu 	再走两步	c=1 d=1 t=36189
zai zuo 	在做	c=3 d=1 t=39300
zai zuo shen me 	在做什么	c=1 d=1 t=33138
zan 	咱	c=2 d=1 t=27855
zan 	赞	c=1 d=1 t=21130
zan lia 	咱俩	c=1 d=1 t=27613
zan me 	咱么	c=3 d=1 t=36124
zan men 	咱们	c=27 d=1 t=41910
zan men jia 	咱们家	c=1 d=1 t=13939
zan qian 	攒钱	c=1 d=1 t=38664
zan shi 	暂时	c=3 d=1.45612 t=33990
zan ting 	暂停	c=1 d=1 t=22781
zan zhu 	赞助	c=0 d=0.1 t=3481
zan zhu fei 	赞助费	c=1 d=1 t=23635
zan zhu le 	赞助了	c=1 d=1 t=3482
zang le 	脏了	c=1 d=1 t=4861
zang li 	葬礼	c=1 d=1 t=23787
zao 	早	c=9 d=1 t=40804
zao can 	早餐	c=3 d=2.14051 t=12344
zao can ye xiao 	早餐夜宵	c=1 d=1 t=12273
zao cheng 	造成	c=1 d=1 t=39754
zao dian 	早点	c=4 d=1 t=38534
zao jiu 	早就	c=1 d=1 t=31228
zao jiu you le 	早就有了	c=1 d=1 t=12998
zao qi 	早期	c=1 d=1 t=39411
zao shang 	早上	c=7 d=1.00035 t=34593
zao shuo 	早说	c=1 d=1 t=19759
zao ta 	糟蹋	c=1 d=1 t=13225
zao wan 	早晚	c=4 d=1.77492 t=33721
zao wan can 	早晚餐	c=1 d=1 t=12196
zao yin 	噪音	c=2 d=1.99501 t=24414
ze 	则	c=1 d=1 t=14072
ze 	泽	c=1 d=1 t=6835
ze ge 	则个	c=1 d=1 t=33333
ze ne ma 	则呢吗	c=3 d=1 t=41227
ze ren 	责任	c=4 d=1 t=21161
